City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
182,Chibombo,-14.68,28.09,68.22,87,100,3.31,ZM,2020-01-03 19:58:45,light rain
183,Knysna,-34.04,23.05,68.0,94,43,3.36,ZA,2020-01-03 19:58:46,scattered clouds
184,Auki,12.18,6.51,62.94,19,53,16.37,NG,2020-01-03 19:58:46,broken clouds
185,Mount Isa,-20.73,139.49,77.0,65,0,7.23,AU,2020-01-03 19:58:47,clear sky
186,Santa Cruz,-6.22,-36.02,80.89,64,35,11.7,BR,2020-01-03 19:58:47,scattered clouds
187,Olinda,-37.84,145.39,80.6,14,20,17.22,AU,2020-01-03 19:58:47,few clouds
188,Kavaratti,10.57,72.64,81.28,77,98,12.68,IN,2020-01-03 19:54:48,overcast clouds
189,Khorixas,-20.37,14.96,76.03,62,100,10.56,NA,2020-01-03 19:58:48,moderate rain
190,Gornopravdinsk,60.06,69.92,12.2,93,100,12.3,RU,2020-01-03 19:54:50,light snow
191,Vestmannaeyjar,63.44,-20.27,23.0,67,35,22.88,IS,2020-01-03 19:58:49,scattered clouds
192,Palm Coast,29.55,-81.22,84.0,65,40,11.41,US,2020-01-03 19:58:50,scattered clouds
193,Marsh Harbour,26.54,-77.06,76.48,79,100,11.45,BS,2020-01-03 19:54:51,overcast clouds
194,Hualmay,-11.1,-77.61,77.27,59,80,10.96,PE,2020-01-03 19:58:50,broken clouds
195,Kloulklubed,7.04,134.26,81.09,75,73,18.19,PW,2020-01-03 19:58:51,broken clouds
196,Hobart,-42.88,147.33,64.4,63,100,11.41,AU,2020-01-03 19:57:22,overcast clouds
197,Guerrero Negro,27.97,-114.04,68.86,28,0,5.82,MX,2020-01-03 19:58:52,clear sky
198,Ulyanovsk,54.31,48.36,33.8,80,90,15.66,RU,2020-01-03 19:58:52,overcast clouds
199,Lavrentiya,65.58,-170.99,-15.93,93,3,8.16,RU,2020-01-03 19:54:53,clear sky
200,Finschhafen,-6.6,147.85,81.27,81,100,13.31,PG,2020-01-03 19:58:53,light rain
201,Hnaberd,40.64,44.14,32.0,92,90,5.3,AM,2020-01-03 19:58:53,light snow
202,Harper,30.3,-99.24,63.0,46,90,19.46,US,2020-01-03 19:55:49,overcast clouds
203,Hermanus,-34.42,19.24,68.0,77,4,12.64,ZA,2020-01-03 19:58:54,clear sky
204,Humberto De Campos,-2.6,-43.46,80.49,81,100,6.02,BR,2020-01-03 19:54:56,light rain
205,Kahului,20.89,-156.47,71.6,82,90,12.75,US,2020-01-03 19:58:55,light rain
206,Salina,38.84,-97.61,50.0,52,1,19.46,US,2020-01-03 19:56:07,clear sky
207,Marzuq,14.4,46.47,61.95,84,0,4.72,YE,2020-01-03 19:58:56,clear sky
208,Dunedin,-45.87,170.5,51.01,60,49,35.01,NZ,2020-01-03 19:54:57,moderate rain
209,Svetlogorsk,53.14,59.15,17.6,85,90,15.66,RU,2020-01-03 19:58:56,light snow
210,Huambo,-12.78,15.73,63.86,95,100,7.65,AO,2020-01-03 19:58:57,moderate rain
211,Praia,-20.25,-43.81,77.0,88,75,3.02,BR,2020-01-03 19:54:58,broken clouds
212,Vinh,18.67,105.69,67.12,94,99,1.88,VN,2020-01-03 19:58:58,light rain
213,Cidreira,-30.17,-50.22,72.79,79,4,24.34,BR,2020-01-03 19:58:58,light rain
214,Codrington,-28.95,153.24,68.0,100,0,8.05,AU,2020-01-03 19:54:59,clear sky
215,Alencon,48.43,0.08,48.2,81,90,9.17,FR,2020-01-03 19:58:59,overcast clouds
216,Deputatskiy,69.3,139.9,-21.8,98,13,2.39,RU,2020-01-03 19:58:59,few clouds
217,Harrismith,-28.27,29.13,57.88,82,15,2.39,ZA,2020-01-03 19:55:01,light rain
218,Havoysund,71.0,24.66,32.0,80,90,25.28,NO,2020-01-03 19:55:01,light shower snow
219,Kaitangata,-46.28,169.85,49.89,68,99,36.62,NZ,2020-01-03 19:55:01,light rain
220,Castro,-42.48,-73.76,66.2,77,75,17.22,CL,2020-01-03 19:55:02,light intensity shower rain
221,Cabo San Lucas,22.89,-109.91,73.99,56,5,9.17,MX,2020-01-03 19:56:36,clear sky
222,Am Timan,11.04,20.28,71.69,23,30,7.43,TD,2020-01-03 19:59:03,scattered clouds
223,Filingue,14.35,3.32,62.64,20,1,13.98,NE,2020-01-03 19:59:03,clear sky
224,Riohacha,11.54,-72.91,93.2,41,20,23.04,CO,2020-01-03 19:57:44,few clouds
225,Arauco,-37.25,-73.32,78.8,57,0,18.34,CL,2020-01-03 19:55:04,clear sky
226,Boca Do Acre,-8.76,-67.39,79.32,94,92,2.06,BR,2020-01-03 19:59:04,light rain
227,Vangaindrano,-23.35,47.6,72.14,96,70,3.69,MG,2020-01-03 19:55:05,light rain
228,Lorengau,-2.02,147.27,83.77,74,100,4.21,PG,2020-01-03 19:59:05,light rain
229,Fort Nelson,58.81,-122.69,-11.2,83,75,2.24,CA,2020-01-03 19:59:05,broken clouds
230,Maniitsoq,65.42,-52.9,24.22,53,89,1.88,GL,2020-01-03 19:59:05,overcast clouds
231,Raudeberg,61.99,5.14,35.01,74,40,27.51,NO,2020-01-03 19:55:07,scattered clouds
232,Pokhara,28.21,83.99,44.98,87,3,1.99,NP,2020-01-03 19:59:06,clear sky
233,Lusambo,-4.97,23.44,69.04,97,100,1.16,CD,2020-01-03 19:55:07,overcast clouds
234,Galesong,-5.32,119.37,75.2,100,20,5.82,ID,2020-01-03 19:59:07,few clouds
235,Tautira,-17.73,-149.15,84.2,74,75,19.46,PF,2020-01-03 19:59:07,broken clouds
236,Bethel,60.79,-161.76,-9.4,83,1,12.75,US,2020-01-03 19:59:08,clear sky
237,Alice Springs,-23.7,133.88,82.4,48,49,8.05,AU,2020-01-03 19:59:08,scattered clouds
238,Upernavik,72.79,-56.15,-7.73,99,100,14.83,GL,2020-01-03 19:59:08,light snow
239,Baykit,61.68,96.39,14.04,96,100,3.29,RU,2020-01-03 19:59:09,light snow
240,Puno,-15.84,-70.03,60.8,51,75,14.99,PE,2020-01-03 19:59:09,broken clouds
241,Sainte-Marie,46.45,-71.03,37.0,98,90,3.36,CA,2020-01-03 19:59:10,overcast clouds
242,Belmonte,40.36,-7.35,48.99,93,4,1.39,PT,2020-01-03 19:55:11,clear sky
243,Gladstone,-23.84,151.26,73.4,73,40,5.82,AU,2020-01-03 19:55:12,scattered clouds
244,Nuevo Progreso,26.05,-97.95,73.4,31,1,11.41,US,2020-01-03 19:59:12,clear sky
245,Namibe,-15.19,12.15,72.03,94,100,5.59,AO,2020-01-03 19:59:12,moderate rain
246,Saurimo,-9.66,20.4,66.25,95,99,2.26,AO,2020-01-03 19:59:13,overcast clouds
247,Portland,43.66,-70.25,46.4,52,90,4.7,US,2020-01-03 19:59:13,overcast clouds
248,Severnoye,54.09,52.54,24.21,96,100,15.73,RU,2020-01-03 19:59:13,light snow
249,Kwinana,-32.25,115.77,57.2,50,0,10.29,AU,2020-01-03 19:55:15,clear sky
250,Kintampo,8.05,-1.73,74.79,12,6,5.91,GH,2020-01-03 19:59:14,clear sky
251,Rock Springs,41.59,-109.2,30.2,74,90,25.28,US,2020-01-03 19:59:14,overcast clouds
252,Vidim,50.47,14.53,44.01,80,75,17.22,CZ,2020-01-03 19:55:16,broken clouds
253,Arlit,18.74,7.39,57.25,24,0,17.22,NE,2020-01-03 19:59:15,clear sky
254,Thinadhoo,0.53,72.93,83.14,65,42,4.9,MV,2020-01-03 19:55:16,scattered clouds
255,Padang,-0.92,100.36,68.11,92,100,5.28,ID,2020-01-03 19:56:16,overcast clouds
256,Takoradi,4.89,-1.75,80.22,56,15,4.7,GH,2020-01-03 19:55:17,few clouds
257,Yazd,31.89,54.36,46.4,45,40,4.7,IR,2020-01-03 19:55:17,haze
