City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,College,US,2020-01-02 20:14:26,64.86,-147.8,-5.8,83,75,3.33
191,Severo-Kurilsk,RU,2020-01-02 20:14:27,50.68,156.12,15.15,78,61,4.27
192,Poum,MK,2020-01-02 20:12:21,41.28,20.71,32.0,51,20,5.82
193,Tessalit,ML,2020-01-02 20:14:28,20.2,1.01,53.28,26,6,13.33
194,San Luis,AR,2020-01-02 20:14:29,-33.3,-66.34,89.73,34,66,16.26
195,Kiunga,PG,2020-01-02 20:14:29,-6.12,141.3,73.35,95,64,1.79
196,Sinnamary,GF,2020-01-02 20:14:30,5.38,-52.96,80.08,72,37,13.6
197,Batemans Bay,AU,2020-01-02 20:14:30,-35.71,150.18,61.0,89,67,3.83
198,Turbat,PK,2020-01-02 20:14:31,26.0,63.05,58.93,66,68,1.16
199,Filingue,NE,2020-01-02 20:14:31,14.35,3.32,62.78,14,0,15.39
200,Iqaluit,CA,2020-01-02 20:11:55,63.75,-68.52,10.4,85,90,3.36
201,Terrace Bay,CA,2020-01-02 20:14:32,48.78,-87.1,32.0,96,90,6.17
202,Kaitangata,NZ,2020-01-02 20:14:33,-46.28,169.85,55.0,58,78,8.99
203,Connersville,US,2020-01-02 20:14:34,39.64,-85.14,51.01,71,90,13.87
204,Sovetskaya Gavan,RU,2020-01-02 20:14:34,48.97,140.29,5.67,88,100,9.82
205,Lorengau,PG,2020-01-02 20:12:23,-2.02,147.27,84.36,71,22,5.46
206,Bundaberg,AU,2020-01-02 20:14:35,-24.87,152.35,73.99,83,75,5.82
207,Chebsara,RU,2020-01-02 20:14:35,59.2,38.84,33.8,100,90,4.47
208,Waitara,NZ,2020-01-02 20:14:35,-39.0,174.24,63.0,81,0,15.01
209,Ostrovnoy,RU,2020-01-02 20:14:36,68.05,39.51,25.32,93,100,16.84
210,Cidreira,BR,2020-01-02 20:14:36,-30.17,-50.22,73.62,77,19,23.42
211,Dombarovskiy,RU,2020-01-02 20:14:36,50.76,59.54,19.83,97,74,7.9
212,Chernyshevskiy,RU,2020-01-02 20:14:37,63.01,112.47,0.81,97,95,3.89
213,Sioux Lookout,CA,2020-01-02 20:14:38,50.1,-91.92,21.2,85,90,11.41
214,Pevek,RU,2020-01-02 20:14:38,69.7,170.27,1.85,64,100,12.88
215,Sukhobezvodnoye,RU,2020-01-02 20:14:38,57.05,44.89,27.37,96,87,8.1
216,Roebourne,AU,2020-01-02 20:14:39,-20.77,117.15,83.03,53,100,1.79
217,Vanimo,PG,2020-01-02 20:14:39,-2.67,141.3,83.7,77,100,6.46
218,Lesnoy,RU,2020-01-02 20:14:40,59.78,52.13,8.17,93,89,11.07
219,Askiz,RU,2020-01-02 20:12:05,53.13,90.53,17.53,76,100,4.5
220,Cape Coast,GH,2020-01-02 20:14:41,5.11,-1.24,83.37,57,18,6.85
221,Blackwater,GB,2020-01-02 20:14:41,51.33,-0.78,52.0,87,75,13.87
222,Kahului,US,2020-01-02 20:14:42,20.89,-156.47,78.8,61,20,5.82
223,Kamaishi,JP,2020-01-02 20:14:42,39.28,141.86,28.83,76,0,4.92
224,Beringovskiy,RU,2020-01-02 20:14:43,63.05,179.32,-11.65,82,0,15.03
225,Beidao,CN,2020-01-02 20:14:43,34.57,105.89,28.92,86,67,0.81
226,Geraldton,CA,2020-01-02 20:14:44,49.72,-86.95,30.2,92,90,5.53
227,George Town,MY,2020-01-02 20:14:44,5.42,100.33,80.6,74,20,5.82
228,Samana,EC,2020-01-02 20:14:44,0.12,-76.97,86.0,69,75,8.05
229,Presidencia Roque Saenz Pena,AR,2020-01-02 20:14:45,-26.79,-60.44,88.48,38,66,11.9
230,Wuwei,CN,2020-01-02 20:14:45,37.93,102.64,19.36,55,97,1.66
231,Brae,GB,2020-01-02 20:14:45,60.4,-1.35,41.0,86,100,19.46
232,Bureya,RU,2020-01-02 20:14:46,49.81,129.81,-12.86,94,0,6.4
233,Deputatskiy,RU,2020-01-02 20:12:18,69.3,139.9,-23.33,76,79,1.95
234,Buraydah,SA,2020-01-02 20:12:19,26.33,43.97,60.8,59,69,2.71
235,Catalina,PE,2020-01-02 20:14:47,-13.57,-76.13,73.99,30,20,11.41
236,Luderitz,NA,2020-01-02 20:14:47,-26.65,15.16,69.8,68,37,28.86
237,Baykit,RU,2020-01-02 20:14:47,61.68,96.39,2.93,98,53,2.35
238,Turukhansk,RU,2020-01-02 20:14:48,65.8,87.96,-6.36,99,100,5.68
239,Phonhong,LA,2020-01-02 20:14:49,18.5,102.42,71.6,83,75,2.24
240,Horsham,AU,2020-01-02 20:14:49,-36.71,142.2,65.14,51,34,7.87
241,Castro,CL,2020-01-02 20:11:45,-42.48,-73.76,75.2,57,57,8.05
242,Camocim,BR,2020-01-02 20:12:20,-2.9,-40.84,78.91,83,100,8.03
243,Goderich,CA,2020-01-02 20:14:50,43.74,-81.71,43.0,79,58,14.0
244,Carmen,PH,2020-01-02 20:14:51,7.36,125.71,73.99,1,100,4.68
245,Unity,CA,2020-01-02 20:14:51,52.44,-109.15,27.0,95,99,5.01
246,Constitucion,MX,2020-01-02 20:14:51,23.99,-104.67,55.4,30,40,20.8
247,Pavilosta,LV,2020-01-02 20:14:52,56.89,21.19,41.0,100,0,16.11
248,Kayerkan,RU,2020-01-02 20:14:52,69.35,87.76,-2.2,77,100,17.9
249,Uyuni,BO,2020-01-02 20:14:53,-20.46,-66.82,61.56,43,98,5.82
250,Tamworth,AU,2020-01-02 20:14:53,-31.09,150.93,73.4,78,0,9.17
251,Oussouye,SN,2020-01-02 20:14:53,12.49,-16.54,78.8,69,11,9.17
252,Kidal,ML,2020-01-02 20:14:54,18.44,1.41,53.06,23,0,13.69
253,Dhidhdhoo,MV,2020-01-02 20:14:54,6.88,73.1,82.49,73,33,11.03
254,Lubango,AO,2020-01-02 20:14:54,-14.92,13.49,61.38,91,100,1.79
255,Griffith,AU,2020-01-02 20:12:29,-34.29,146.06,68.0,55,75,11.41
256,De Aar,ZA,2020-01-02 20:14:55,-30.65,24.01,78.58,9,0,8.23
257,Portland,US,2020-01-02 20:14:55,43.66,-70.25,41.0,55,75,6.93
258,Paamiut,GL,2020-01-02 20:14:56,61.99,-49.67,25.32,42,100,8.48
259,Amta,BD,2020-01-02 20:14:56,23.98,90.06,69.8,83,90,3.36
